Month,Portfolio_return,Mkt_excess_return,SMB,HML,RF
1/31/2007,1.25,1.4,0.13,-0.68,0.44
2/28/2007,1.17,-1.96,1.19,-0.14,0.38
3/30/2007,1.38,0.68,0.16,-0.97,0.43
4/30/2007,10.51,3.49,-2.16,-1.45,0.44
5/31/2007,6.06,3.24,0.24,-0.65,0.41
6/29/2007,1.29,-1.96,0.74,-1.05,0.4
7/31/2007,-1.28,-3.73,-2.61,-3.71,0.4
8/31/2007,1.47,0.92,-0.12,-1.86,0.42
9/28/2007,6.02,3.22,-2.23,-2.21,0.32
10/31/2007,2.73,1.8,0.08,-2.98,0.32
11/30/2007,-3.49,-4.83,-2.93,-0.94,0.34
12/31/2007,1.29,-0.87,0.13,-0.55,0.27
1/31/2008,-9.63,-6.36,-1.03,3.97,0.21
2/29/2008,-6.23,-3.09,-0.43,-0.84,0.13
3/31/2008,3.48,-0.93,0.71,0.3,0.17
4/30/2008,8.84,4.6,-1.72,-0.94,0.18
5/30/2008,3.87,1.86,2.96,-1.43,0.18
6/30/2008,-14.43,-8.44,1.23,-2.71,0.17
7/31/2008,-3.42,-0.77,2.61,5.42,0.15
8/29/2008,5.51,1.53,3.6,1.59,0.13
9/30/2008,-8.23,-9.24,-1.23,5.91,0.15
10/31/2008,-14.73,-17.23,-2.6,-2.3,0.08
11/28/2008,-8.09,-7.86,-2.85,-6.31,0.03
12/31/2008,6.1,1.74,3.46,0.14,0
1/30/2009,-8.66,-8.12,0.07,-11.29,0
2/27/2009,-9.9,-10.1,0.05,-6.95,0.01
3/31/2009,5.31,8.95,0.03,3.47,0.02
4/30/2009,1.54,10.18,5.4,5.36,0.01
5/29/2009,6.07,5.21,-2.52,0.28,0
6/30/2009,2.44,0.43,2.63,-2.73,0.01
7/31/2009,5.86,7.72,1.87,4.83,0.01
8/31/2009,0.23,3.33,-1.08,7.63,0.01
9/30/2009,3.58,4.08,2.43,1.05,0.01
10/30/2009,0.16,-2.59,-4.35,-4.21,0
11/30/2009,6.76,5.56,-2.4,-0.34,0
12/31/2009,0.53,2.75,6.05,-0.17,0.01
1/29/2010,-4.49,-3.36,0.4,0.43,0
2/26/2010,4.03,3.4,1.19,3.23,0
3/31/2010,8.37,6.31,1.48,2.21,0.01
4/30/2010,3.56,2,4.87,2.89,0.01
5/28/2010,-9.3,-7.89,0.09,-2.44,0.01
6/30/2010,-7.2,-5.57,-1.82,-4.7,0.01
7/30/2010,7.59,6.93,0.2,-0.31,0.01
8/31/2010,-5.51,-4.77,-3,-1.9,0.01
9/30/2010,10.86,9.54,3.96,-3.16,0.01
10/29/2010,2.52,3.88,1.14,-2.43,0.01
11/30/2010,1.62,0.6,3.77,-0.96,0.01
12/31/2010,9.12,6.82,0.73,3.7,0.01
1/31/2011,5.08,1.99,-2.5,0.83,0.01
2/28/2011,4.13,3.49,1.53,1.27,0.01
3/31/2011,0,0.46,2.54,-1.83,0.01
4/29/2011,3.02,2.9,-0.38,-2.43,0
5/31/2011,-2.05,-1.27,-0.59,-2.12,0
6/30/2011,-2.09,-1.75,-0.12,-0.42,0
7/29/2011,-2.94,-2.35,-1.26,-0.9,0
8/31/2011,-5.61,-5.99,-3.05,-2.36,0.01
9/30/2011,-9.12,-7.59,-3.31,-1.72,0
10/31/2011,12.11,11.35,3.28,0.1,0
