Month,Actual_return,Equal_weight_return,SP500_return,AAPL,AMZN,BA,BAC,BLK,CAT,CL,COP,D,DIS,GE,JNJ,JPM,KO,MCD,MMM,MSFT,NKE,NOC,NVDA,OXY,PFE,PG,SO,SPG,T,TSM,UNH,UPS,VMC,XOM
2007-01-31,0.0125,0.0062,0.01,0.00105,-0.00454,0.0,-0.0,0.0,0.00496,0.0,-0.0,-0.0,0.00263,-0.0,0.0,0.00615,-0.0,5.0e-5,-0.0,0.0,-0.0,0.0,-0.01718,-0.0,0.0,0.0,-0.0,0.0,0.00625,-0.00018,-0.0,-0.0,0.01332,-0.0
2007-02-28,0.0117,-0.0067,-0.02,-0.00131,0.0039,-0.0,-0.0,-0.0,0.00056,-0.0,-0.0,0.0,-0.00262,-0.0,-0.0,-0.00302,-0.0,-0.00149,0.0,-0.0,0.0,0.0,0.00114,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00221,0.00174,-0.0,-0.0,0.01499,-0.0
2007-03-30,0.0138,0.015,0.01,0.00981,0.00166,0.0,0.0,-0.0,0.00404,-0.0,0.0,0.0,0.00053,0.0,-0.0,-0.00204,0.0,0.00311,0.0,-0.0,0.0,0.0,-0.00716,0.0,0.0,-0.0,0.0,-0.0,0.00715,-0.00315,0.0,-0.0,-0.00015,0.0
2007-04-30,0.1051,0.0548,0.04,0.00742,0.05413,0.0,-0.0,-0.0,0.00879,0.0,0.0,0.0,0.0016,0.0,0.0,0.00839,0.0,0.00717,0.0,0.0,0.0,-0.0,0.01428,0.0,0.0,0.0,0.0,0.0,-0.0009,-0.00195,0.0,0.0,0.00617,0.0
2007-05-31,0.0606,0.0376,0.03,0.02143,0.01273,0.0,0.0,0.0,0.00821,-0.0,0.0,-0.0,0.00132,0.0,-0.0,-0.00052,0.0,0.0047,0.0,0.0,0.0,0.0,0.00532,0.0,0.0,-0.0,-0.0,-0.0,0.00677,0.00351,0.0,0.0,-0.00285,0.0
2007-06-29,0.0129,-0.008,-0.02,0.0007,-0.00106,-0.0,-0.0,0.0,-0.00036,-0.0,0.0,-0.0,-0.00231,0.0,-0.0,-0.00652,-0.0,0.00042,-0.0,-0.0,0.0,0.0,0.01926,0.0,-0.0,-0.0,-0.0,-0.0,0.00039,0.00664,-0.0,0.0,-0.0043,0.0
2007-07-31,-0.0128,-0.0084,-0.03,0.00796,0.01481,0.0,-0.0,0.0,0.0011,0.0,0.0,-0.0,-0.00334,0.0,-0.0,-0.00838,-0.0,-0.00569,0.0,-0.0,-0.0,-0.0,0.01077,-0.0,-0.0,0.0,-0.0,-0.0,-0.00478,-0.0088,-0.0,0.0,-0.01643,0.0
2007-08-31,0.0147,0.0206,0.01,0.0051,0.00174,-0.0,0.0,-0.0,-0.00385,0.0,0.0,0.0,0.00182,0.0,0.0,0.00116,0.0,0.00288,0.0,-0.0,-0.0,0.0,0.0118,-0.0,0.0,0.0,0.0,0.0,0.00181,-0.00227,0.0,0.0,-0.00548,0.0
2007-09-28,0.0602,0.0503,0.04,0.01082,0.01657,0.0,0.0,0.0,0.00351,0.0,0.0,-0.0,0.00235,0.0,0.0,0.00292,0.0,0.0106,0.0,0.0,0.0,-0.0,0.00625,0.0,-0.0,0.0,0.0,0.0,0.00612,0.00202,-0.0,-0.0,-0.00096,0.0
2007-10-31,0.0273,0.0347,0.01,0.02377,-0.00429,-0.0,-0.0,0.0,-0.00441,0.0,-0.0,0.0,0.0007,-0.0,-0.0,0.0034,0.0,0.00969,-0.0,0.0,0.0,0.0,-0.00237,0.0,0.0,-0.0,0.0,0.0,-0.00039,0.00524,0.0,0.0,-0.00408,-0.0
