PERMNO,date,Year,TICKER,COMNAM,PRC,RET,sprtrn,annual_sprtrn,Rf
14593,12/31/2002,2002,AAPL,APPLE COMPUTER INC,14.33,-0.075484,-0.0603,-0.2337,0.0461
14593,1/31/2003,2003,AAPL,APPLE COMPUTER INC,14.36,0.002093,-0.027414693,0.2638,0.0401
14593,2/28/2003,2003,AAPL,APPLE COMPUTER INC,15.01,0.045265,-0.017003609,0.2638,0.0401
14593,3/31/2003,2003,AAPL,APPLE COMPUTER INC,14.14,-0.057961,0.008357569,0.2638,0.0401
14593,4/30/2003,2003,AAPL,APPLE COMPUTER INC,14.22,0.005658,0.081044107,0.2638,0.0401
14593,5/30/2003,2003,AAPL,APPLE COMPUTER INC,17.95,0.262307,0.05089871,0.2638,0.0401
14593,6/30/2003,2003,AAPL,APPLE COMPUTER INC,19.06,0.061838,0.011322215,0.2638,0.0401
14593,7/31/2003,2003,AAPL,APPLE COMPUTER INC,21.08,0.105981,0.016223702,0.2638,0.0401
14593,8/29/2003,2003,AAPL,APPLE COMPUTER INC,22.61,0.072581,0.017873203,0.2638,0.0401
14593,9/30/2003,2003,AAPL,APPLE COMPUTER INC,20.72,-0.083591,-0.011944365,0.2638,0.0401
14593,10/31/2003,2003,AAPL,APPLE COMPUTER INC,22.89,0.10473,0.054961486,0.2638,0.0401
14593,11/28/2003,2003,AAPL,APPLE COMPUTER INC,20.91,-0.086501,0.007128504,0.2638,0.0401
14593,12/31/2003,2003,AAPL,APPLE COMPUTER INC,21.37,0.021999,0.050765541,0.2638,0.0401
14593,1/30/2004,2004,AAPL,APPLE COMPUTER INC,22.56,0.055685,0.017276387,0.0899,0.0427
14593,2/27/2004,2004,AAPL,APPLE COMPUTER INC,23.92,0.060284,0.012208973,0.0899,0.0427
14593,3/31/2004,2004,AAPL,APPLE COMPUTER INC,27.04,0.130435,-0.016358919,0.0899,0.0427
14593,4/30/2004,2004,AAPL,APPLE COMPUTER INC,25.78,-0.046598,-0.016790752,0.0899,0.0427
14593,5/28/2004,2004,AAPL,APPLE COMPUTER INC,28.06,0.088441,0.01208345,0.0899,0.0427
14593,6/30/2004,2004,AAPL,APPLE COMPUTER INC,32.54,0.159658,0.017988999,0.0899,0.0427
14593,7/30/2004,2004,AAPL,APPLE COMPUTER INC,32.34,-0.006146,-0.034290519,0.0899,0.0427
14593,8/31/2004,2004,AAPL,APPLE COMPUTER INC,34.49,0.066481,0.00228735,0.0899,0.0427
14593,9/30/2004,2004,AAPL,APPLE COMPUTER INC,38.75,0.123514,0.009363876,0.0899,0.0427
14593,10/29/2004,2004,AAPL,APPLE COMPUTER INC,52.4,0.352258,0.014014244,0.0899,0.0427
14593,11/30/2004,2004,AAPL,APPLE COMPUTER INC,67.05,0.27958,0.038594936,0.0899,0.0427
14593,12/31/2004,2004,AAPL,APPLE COMPUTER INC,64.4,-0.039523,0.032458213,0.0899,0.0427
14593,1/31/2005,2005,AAPL,APPLE COMPUTER INC,76.9,0.194099,-0.025290467,0.03,0.0429
14593,2/28/2005,2005,AAPL,APPLE COMPUTER INC,44.86,0.16671,0.018903346,0.03,0.0429
14593,3/31/2005,2005,AAPL,APPLE COMPUTER INC,41.67,-0.07111,-0.019117656,0.03,0.0429
14593,4/29/2005,2005,AAPL,APPLE COMPUTER INC,36.06,-0.134629,-0.020108582,0.03,0.0429
14593,5/31/2005,2005,AAPL,APPLE COMPUTER INC,39.7593,0.102587,0.029952046,0.03,0.0429
14593,6/30/2005,2005,AAPL,APPLE COMPUTER INC,36.81,-0.074179,-0.000142714,0.03,0.0429
14593,7/29/2005,2005,AAPL,APPLE COMPUTER INC,42.65,0.158653,0.035968287,0.03,0.0429
14593,8/31/2005,2005,AAPL,APPLE COMPUTER INC,46.89,0.099414,-0.011222105,0.03,0.0429
14593,9/30/2005,2005,AAPL,APPLE COMPUTER INC,53.61,0.143314,0.006949025,0.03,0.0429
14593,10/31/2005,2005,AAPL,APPLE COMPUTER INC,57.59,0.07424,-0.01774078,0.03,0.0429
14593,11/30/2005,2005,AAPL,APPLE COMPUTER INC,67.82,0.177635,0.035186096,0.03,0.0429
14593,12/30/2005,2005,AAPL,APPLE COMPUTER INC,71.89,0.060012,-0.000952349,0.03,0.0429
14593,1/31/2006,2006,AAPL,APPLE COMPUTER INC,75.51,0.050355,0.025466771,0.1362,0.048
14593,2/28/2006,2006,AAPL,APPLE COMPUTER INC,68.49,-0.092968,0.000453158,0.1362,0.048
14593,3/31/2006,2006,AAPL,APPLE COMPUTER INC,62.72,-0.084246,0.01109581,0.1362,0.048
14593,4/28/2006,2006,AAPL,APPLE COMPUTER INC,70.39,0.12229,0.012155653,0.1362,0.048
14593,5/31/2006,2006,AAPL,APPLE COMPUTER INC,59.77,-0.150874,-0.030916916,0.1362,0.048
14593,6/30/2006,2006,AAPL,APPLE COMPUTER INC,57.27,-0.041827,8.65962E-05,0.1362,0.048
14593,7/31/2006,2006,AAPL,APPLE COMPUTER INC,67.96,0.18666,0.005085879,0.1362,0.048
14593,8/31/2006,2006,AAPL,APPLE COMPUTER INC,67.85,-0.001619,0.021274193,0.1362,0.048
14593,9/29/2006,2006,AAPL,APPLE COMPUTER INC,76.98,0.134562,0.024566299,0.1362,0.048
14593,10/31/2006,2006,AAPL,APPLE COMPUTER INC,81.08,0.053261,0.031508003,0.1362,0.048
14593,11/30/2006,2006,AAPL,APPLE COMPUTER INC,91.66,0.130488,0.016466657,0.1362,0.048
14593,12/29/2006,2006,AAPL,APPLE COMPUTER INC,84.84,-0.074405,0.012615783,0.1362,0.048
14593,1/31/2007,2007,AAPL,APPLE INC,85.73,0.01049,0.014059043,0.0353,0.0463
14593,2/28/2007,2007,AAPL,APPLE INC,84.61,-0.013064,-0.021846176,0.0353,0.0463
14593,3/30/2007,2007,AAPL,APPLE INC,92.91,0.098097,0.009979983,0.0353,0.0463
14593,4/30/2007,2007,AAPL,APPLE INC,99.8,0.074158,0.043290691,0.0353,0.0463
14593,5/31/2007,2007,AAPL,APPLE INC,121.191,0.214339,0.032549229,0.0353,0.0463
14593,6/29/2007,2007,AAPL,APPLE INC,122.04,0.007005,-0.017816322,0.0353,0.0463
14593,7/31/2007,2007,AAPL,APPLE INC,131.75999,0.079646,-0.031981878,0.0353,0.0463
14593,8/31/2007,2007,AAPL,APPLE INC,138.48,0.051002,0.012863572,0.0353,0.0463
14593,9/28/2007,2007,AAPL,APPLE INC,153.47,0.108247,0.035794008,0.0353,0.0463
14593,10/31/2007,2007,AAPL,APPLE INC,189.95,0.237701,0.014822338,0.0353,0.0463
14593,11/30/2007,2007,AAPL,APPLE INC,182.22,-0.040695,-0.044043417,0.0353,0.0463
14593,12/31/2007,2007,AAPL,APPLE INC,198.08,0.087038,-0.008628509,0.0353,0.0463
